datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
02MAR2025,ANTWERPEN-BERCHEM,1.17,1.17,1,THI-FACT,2025-03
17MAR2025,MECHELEN,-1.03,-0.05,1,SNCB/NMBS,2025-03
21MAR2025,BRUSSEL-SCHUMAN,0.03,0.02,1,SNCB/NMBS,2025-03
03MAR2025,ERBISOEUL,0.13,0.13,1,SNCB/NMBS,2025-03
14MAR2025,BRUSSEL-CONGRES,2.7,2.7,1,SNCB/NMBS,2025-03
07MAR2025,MELKOUWEN,-0.23,-0.23,1,SNCB/NMBS,2025-03
15MAR2025,KAPELLEN-WIJKSPOOR,-1.72,-1.72,1,SNCB/NMBS,2025-03
17MAR2025,BRUSSEL-KAPELLEKERK,3.27,3.27,1,SNCB/NMBS,2025-03
15MAR2025,LOUVAIN-LA-NEUVE,0.47,,1,SNCB/NMBS,2025-03
21MAR2025,ANTWERPEN-LUCHTBAL,1.05,1.5,1,SNCB/NMBS,2025-03
11MAR2025,HOURAING,7.37,7.02,1,SNCB/NMBS,2025-03
31MAR2025,LANDEGEM,1.12,1.12,1,SNCB/NMBS,2025-03
26MAR2025,SCLESSIN,1.2,0.8,1,SNCB/NMBS,2025-03
18MAR2025,BUGGENHOUT,0.47,0.32,1,SNCB/NMBS,2025-03
09MAR2025,HOLLEKEN,3.63,3.63,1,SNCB/NMBS,2025-03
26MAR2025,ARLON,4.73,,1,SNCB/NMBS,2025-03
20MAR2025,RONSE,0.2,,1,SNCB/NMBS,2025-03
04MAR2025,MECHELEN,-0.2,,1,SNCB/NMBS,2025-03
11MAR2025,RUISBROEK,1.63,1.75,1,SNCB/NMBS,2025-03
14MAR2025,LIER,-0.22,0.07,1,SNCB/NMBS,2025-03
20MAR2025,EKEREN,0.92,0.47,1,SNCB/NMBS,2025-03
11MAR2025,BAS-OHA,1.07,1.07,1,SNCB/NMBS,2025-03
23MAR2025,BOUSSU,0.53,-0.15,1,SNCB/NMBS,2025-03
25MAR2025,VORST-OOST,3.57,3.57,1,SNCB/NMBS,2025-03
13MAR2025,SAINT-GHISLAIN,6.35,1.88,1,SNCB/NMBS,2025-03
07MAR2025,TUBIZE,-0.4,0.13,1,SNCB/NMBS,2025-03
12MAR2025,BRUSSEL-KAPELLEKERK,-2.07,-2.07,1,SNCB/NMBS,2025-03
02MAR2025,BEVEREN(WAAS),-0.13,-0.08,1,SNCB/NMBS,2025-03
10MAR2025,HAM-SUR-SAMBRE,5.47,5.47,1,SNCB/NMBS,2025-03
18MAR2025,MUNKZWALM,0.27,0.07,1,SNCB/NMBS,2025-03
21MAR2025,KORTRIJK,0.15,,1,SNCB/NMBS,2025-03
26MAR2025,KOKSIJDE,0.9,1.1,1,SNCB/NMBS,2025-03
15MAR2025,ANDERLECHT,5.9,5.9,1,SNCB/NMBS,2025-03
26MAR2025,BRUSSEL-NOORD,0.02,0.18,1,SNCB/NMBS,2025-03
27MAR2025,ALKEN,-0.1,0.42,1,SNCB/NMBS,2025-03
24MAR2025,BRUSSEL-KAPELLEKERK,0.08,0.08,1,SNCB/NMBS,2025-03
28MAR2025,MERELBEKE,1.57,1.47,1,SNCB/NMBS,2025-03
10MAR2025,KONTICH-LINT,26.12,26.12,1,SNCB/NMBS,2025-03
21MAR2025,KORTENBERG,0.35,0.35,1,SNCB/NMBS,2025-03
10MAR2025,NEUFCHATEAU,2.23,2.23,1,SNCB/NMBS,2025-03
28MAR2025,LIERDE,2.17,2.1,1,SNCB/NMBS,2025-03
02MAR2025,CEROUX-MOUSTY,0.42,0.52,1,SNCB/NMBS,2025-03
10MAR2025,TILLY,-1.08,-1.08,1,SNCB/NMBS,2025-03
16MAR2025,LESSINES,-0.55,0.15,1,SNCB/NMBS,2025-03
10MAR2025,BRUSSEL-SCHUMAN,0.38,0.2,1,SNCB/NMBS,2025-03
20MAR2025,BEUZET,-0.37,-0.07,1,SNCB/NMBS,2025-03
14MAR2025,LINKEBEEK,-0.72,0.3,1,SNCB/NMBS,2025-03
15MAR2025,BRUSSEL-CENTRAAL,2.33,2.48,1,SNCB/NMBS,2025-03
05MAR2025,NAMUR-HERBATTE,0.38,0.38,1,SNCB/NMBS,2025-03
18MAR2025,TILLEUR,0.02,0.02,1,SNCB/NMBS,2025-03
23MAR2025,BRESSOUX,0.0,0.47,1,SNCB/NMBS,2025-03
28MAR2025,LANDEGEM,20.65,20.65,1,SNCB/NMBS,2025-03
12MAR2025,NEERPELT,0.43,-0.25,1,SNCB/NMBS,2025-03
23MAR2025,GENVAL,-2.28,-2.28,1,SNCB/NMBS,2025-03
18MAR2025,OVERPELT,0.23,0.68,1,SNCB/NMBS,2025-03
04MAR2025,SCHOONAARDE,0.82,0.9,1,SNCB/NMBS,2025-03
08MAR2025,ZAVENTEM,0.38,0.38,1,SNCB/NMBS,2025-03
18MAR2025,ANTOING,0.1,0.33,1,SNCB/NMBS,2025-03
30MAR2025,DIEGEM,-1.22,-1.22,1,SNCB/NMBS,2025-03
21MAR2025,LIEDEKERKE,-0.52,0.0,1,SNCB/NMBS,2025-03
22MAR2025,SINT-KATELIJNE-WAVER,0.02,0.0,1,SNCB/NMBS,2025-03
13MAR2025,BRUSSEL-LUXEMBURG,4.97,5.17,1,SNCB/NMBS,2025-03
23MAR2025,BRUSSEL-NOORD,0.18,0.48,1,SNCB/NMBS,2025-03
09MAR2025,MELSELE,0.28,0.28,1,SNCB/NMBS,2025-03
05MAR2025,BRUSSEL-NOORD,0.38,0.07,1,SNCB/NMBS,2025-03
11MAR2025,ZAVENTEM,0.07,0.2,1,SNCB/NMBS,2025-03
11MAR2025,ETTERBEEK,0.0,0.78,1,SNCB/NMBS,2025-03
06MAR2025,HERMALLE-SOUS-HUY,3.85,3.85,1,SNCB/NMBS,2025-03
15MAR2025,MARCHE-LEZ-ECAUSSINNES,-0.05,-0.05,1,SNCB/NMBS,2025-03
14MAR2025,BIERGES-WALIBI,0.68,0.2,1,SNCB/NMBS,2025-03
05MAR2025,BRUSSEL-KAPELLEKERK,0.83,0.83,1,SNCB/NMBS,2025-03
12MAR2025,DAVE-SAINT-MARTIN,1.7,1.7,1,SNCB/NMBS,2025-03
26MAR2025,DE HOEK,1.65,1.65,1,SNCB/NMBS,2025-03
03MAR2025,EPPEGEM,2.6,2.6,1,SNCB/NMBS,2025-03
11MAR2025,SINT-GILLIS(DENDERMONDE),0.57,0.67,1,SNCB/NMBS,2025-03
18MAR2025,BASSE-WAVRE,3.7,3.3,1,SNCB/NMBS,2025-03
08MAR2025,BRUSSEL-ZUID,-0.33,,1,SNCB/NMBS,2025-03
03MAR2025,BOONDAAL,0.12,0.7,1,SNCB/NMBS,2025-03
05MAR2025,DIEST,-0.73,0.35,1,SNCB/NMBS,2025-03
06MAR2025,BUIZINGEN,4.67,4.7,1,SNCB/NMBS,2025-03
23MAR2025,SPA,0.97,0.78,1,SNCB/NMBS,2025-03
21MAR2025,SCLESSIN,0.78,0.78,1,SNCB/NMBS,2025-03
03MAR2025,BRUSSEL-CENTRAAL,0.07,0.67,1,SNCB/NMBS,2025-03
05MAR2025,ANTWERPEN-OOST,8.53,8.53,1,SNCB/NMBS,2025-03
30MAR2025,HEIZIJDE,10.92,10.92,1,SNCB/NMBS,2025-03
30MAR2025,KONTICH-LINT,0.35,0.35,1,THI-FACT,2025-03
